date,price,volume,returns,signal,position,shares,equity,strategy_returns
2020-01-02,72.4005126953125,135480400,0.0,0.0,0.0,0.0,10000.0,0.0
2020-01-03,71.69664001464844,146322800,-0.009721929506579796,0.0,0.0,0.0,10000.0,0.0
2020-01-06,72.2679443359375,118387200,0.00796835557666764,0.0,0.0,0.0,10000.0,0.0
2020-01-07,71.92805480957031,108872000,-0.004703185201826332,0.0,0.0,0.0,10000.0,0.0
2020-01-08,73.08509063720703,132079200,0.016086015820947486,0.0,0.0,0.0,10000.0,0.0
2020-01-09,74.63748168945312,170108400,0.02124087195775859,0.0,0.0,0.0,10000.0,0.0
2020-01-10,74.80622863769531,140644800,0.0022608874847132032,0.0,0.0,0.0,10000.0,0.0
2020-01-13,76.40442657470703,121532000,0.02136450354625108,0.0,0.0,0.0,10000.0,0.0
2020-01-14,75.37271118164062,161954400,-0.013503345804939837,0.0,0.0,0.0,10000.0,0.0
2020-01-15,75.04971313476562,121923600,-0.00428534467994135,0.0,0.0,0.0,10000.0,0.0
2020-01-16,75.98980712890625,108829200,0.012526283644182845,0.0,0.0,0.0,10000.0,0.0
2020-01-17,76.83108520507812,137816400,0.011070933167980801,0.0,0.0,0.0,10000.0,0.0
2020-01-21,76.31041717529297,110843200,-0.006776788696858604,0.0,0.0,0.0,10000.0,0.0
2020-01-22,76.58280181884766,101832400,0.003569429360201104,0.0,0.0,0.0,10000.0,0.0
2020-01-23,76.95162963867188,104472000,0.004816065892922827,0.0,0.0,0.0,10000.0,0.0
2020-01-24,76.72986602783203,146537600,-0.002881857237866714,0.0,0.0,0.0,10000.0,0.0
2020-01-27,74.47357940673828,161940000,-0.02940558530723003,0.0,0.0,0.0,10000.0,0.0
2020-01-28,76.58036804199219,162234000,0.02828907448838547,0.0,0.0,0.0,10000.0,0.0
2020-01-29,78.18338775634766,216229200,0.02093251515161776,0.0,0.0,0.0,10000.0,0.0
2020-01-30,78.07009887695312,126743200,-0.001449014715857344,0.0,0.0,0.0,10000.0,0.0
2020-01-31,74.60857391357422,199588400,-0.04433867784431322,0.0,0.0,0.0,10000.0,0.0
2020-02-03,74.40367126464844,173788400,-0.002746368656813325,0.9230409213926704,0.9230409213926704,124.05851831013567,9990.769590786073,-0.000923040921392726
2020-02-04,76.86001586914062,136616400,0.03301375540670759,0.80372308642866,0.80372308642866,104.56972683912177,10294.002154056736,0.0303512717929475
2020-02-05,77.48674774169922,118826800,0.008154199104325466,0.0,0.0,0.0,10351.43656672656,0.0055794055422058175
2020-02-06,78.39311218261719,105425600,0.011697025198932343,0.0,0.0,0.0,10351.43656672656,0.0
2020-02-07,77.3275375366211,117684000,-0.013592707526572378,0.0,0.0,0.0,10351.43656672656,0.0
2020-02-10,77.69480895996094,109348800,0.0047495553982424,0.0,0.0,0.0,10351.43656672656,0.0
