date,price,volume,returns,signal,position,strategy_returns,equity
2020-01-02,72.4005126953125,135480400,0.0,0.0,0.0,0.0,10000.0
2020-01-03,71.69664001464844,146322800,-0.009721929506579796,0.0,0.0,-0.0,10000.0
2020-01-06,72.2679443359375,118387200,0.00796835557666764,0.0,0.0,0.0,10000.0
2020-01-07,71.92805480957031,108872000,-0.004703185201826332,0.0,0.0,-0.0,10000.0
2020-01-08,73.08509063720703,132079200,0.016086015820947486,0.0,0.0,0.0,10000.0
2020-01-09,74.63748168945312,170108400,0.02124087195775859,0.0,0.0,0.0,10000.0
2020-01-10,74.80622863769531,140644800,0.0022608874847132032,0.0,0.0,0.0,10000.0
2020-01-13,76.40442657470703,121532000,0.02136450354625108,0.0,0.0,0.0,10000.0
2020-01-14,75.37271118164062,161954400,-0.013503345804939837,0.0,0.0,-0.0,10000.0
2020-01-15,75.04971313476562,121923600,-0.00428534467994135,0.0,0.0,-0.0,10000.0
2020-01-16,75.98980712890625,108829200,0.012526283644182845,0.0,0.0,0.0,10000.0
2020-01-17,76.83108520507812,137816400,0.011070933167980801,0.0,0.0,0.0,10000.0
2020-01-21,76.31041717529297,110843200,-0.006776788696858604,0.0,0.0,-0.0,10000.0
2020-01-22,76.58280181884766,101832400,0.003569429360201104,0.0,0.0,0.0,10000.0
2020-01-23,76.95162963867188,104472000,0.004816065892922827,0.0,0.0,0.0,10000.0
2020-01-24,76.72986602783203,146537600,-0.002881857237866714,0.0,0.0,-0.0,10000.0
2020-01-27,74.47357940673828,161940000,-0.02940558530723003,0.0,0.0,-0.0,10000.0
2020-01-28,76.58036804199219,162234000,0.02828907448838547,0.0,0.0,0.0,10000.0
2020-01-29,78.18338775634766,216229200,0.02093251515161776,0.0,0.0,0.0,10000.0
2020-01-30,78.07009887695312,126743200,-0.001449014715857344,0.0,0.0,-0.0,10000.0
2020-01-31,74.60857391357422,199588400,-0.04433867784431322,0.0,0.0,-0.0,10000.0
2020-02-03,74.40367126464844,173788400,-0.002746368656813325,0.0,0.0,-0.0,10000.0
2020-02-04,76.86001586914062,136616400,0.03301375540670759,0.0,0.0,0.0,10000.0
2020-02-05,77.48674774169922,118826800,0.008154199104325466,0.0,0.0,0.0,10000.0
2020-02-06,78.39311218261719,105425600,0.011697025198932343,0.0,0.0,0.0,10000.0
2020-02-07,77.3275375366211,117684000,-0.013592707526572378,0.0,0.0,-0.0,10000.0
2020-02-10,77.69480895996094,109348800,0.0047495553982424,0.0,0.0,0.0,10000.0
2020-02-11,77.22605895996094,94323200,-0.006033221604825112,0.0,0.0,-0.0,10000.0
2020-02-12,79.06002044677734,113730400,0.023747961653296956,0.0,0.0,0.0,10000.0
2020-02-13,78.49698638916016,94747600,-0.007121602732144683,0.0,0.0,-0.0,10000.0
2020-02-14,78.51634979248047,80113600,0.000246677028138631,0.0,0.0,0.0,10000.0
2020-02-18,77.07866668701172,152531200,-0.01831062077221579,0.0,0.0,-0.0,10000.0
2020-02-19,78.19496154785156,93984000,0.014482539836511599,0.0,0.0,0.0,10000.0
2020-02-20,77.39276123046875,100566000,-0.010258977068386965,0.0,0.0,-0.0,10000.0
2020-02-21,75.6409912109375,129554000,-0.022634804491787452,0.0,0.0,-0.0,10000.0
2020-02-24,72.04801940917969,222195200,-0.04750032679685823,0.0,0.0,-0.0,10000.0
2020-02-25,69.60759735107422,230673600,-0.033872160235879245,0.0,0.0,-0.0,10000.0
2020-02-26,70.71182250976562,198054800,0.015863572378775226,1.0,1.0,0.014863572378775225,10148.635723787751
2020-02-27,66.08951568603516,320605600,-0.0653682320674468,0.0,0.0,-0.001,10138.487088063963
2020-02-28,66.05087280273438,426510000,-0.0005847051971806794,1.0,1.0,-0.0015847051971806794,10122.42057488396
2020-03-02,72.20023345947266,341397200,0.09310036939411503,1.0,1.0,0.09310036939411503,11064.821669568246
2020-03-03,69.90721893310547,319475600,-0.031759101272910706,0.0,0.0,-0.001,11053.756847898678
2020-03-04,73.1498031616211,219178400,0.04638411136936327,0.0,0.0,0.0,11053.756847898678
2020-03-05,70.77706909179688,187572800,-0.032436643261797626,0.0,0.0,-0.0,11053.756847898678
2020-03-06,69.83715057373047,226176800,-0.013279986443735736,0.0,0.0,-0.0,11053.756847898678
2020-03-09,64.31356811523438,286744800,-0.0790923228270114,0.0,0.0,-0.0,11053.756847898678
2020-03-10,68.94554901123047,285290000,0.0720218304121567,0.0,0.0,0.0,11053.756847898678
2020-03-11,66.551025390625,255598800,-0.034730648387692575,0.0,0.0,-0.0,11053.756847898678
2020-03-12,59.97879409790039,418474000,-0.09875477130740706,0.0,0.0,-0.0,11053.756847898678
2020-03-13,67.16474914550781,370732000,0.11980826149785773,0.0,0.0,0.0,11053.756847898678
2020-03-16,58.52421569824219,322423600,-0.12864685057553782,0.0,0.0,-0.0,11053.756847898678
2020-03-17,61.097537994384766,324056000,0.0439702141317182,0.0,0.0,0.0,11053.756847898678
2020-03-18,59.60186767578125,300233600,-0.02448004236669854,0.0,0.0,-0.0,11053.756847898678
2020-03-19,59.14519119262695,271857200,-0.0076621169933549504,0.0,0.0,-0.0,11053.756847898678
2020-03-20,55.39032745361328,401693200,-0.06348552880291902,0.0,0.0,-0.0,11053.756847898678
2020-03-23,54.21360397338867,336752800,-0.021244205158564178,0.0,0.0,-0.0,11053.756847898678
2020-03-24,59.652610778808594,287531200,0.10032549778630684,0.0,0.0,0.0,11053.756847898678
2020-03-25,59.323997497558594,303602000,-0.005508782884096952,0.0,0.0,-0.0,11053.756847898678
2020-03-26,62.445804595947266,252087200,0.05262300637304729,0.0,0.0,0.0,11053.756847898678
2020-03-27,59.86041259765625,204216800,-0.04140217289247339,0.0,0.0,-0.0,11053.756847898678
2020-03-30,61.56871032714844,167976400,0.0285380212958819,0.0,0.0,0.0,11053.756847898678
2020-03-31,61.443050384521484,197002000,-0.0020409708431320395,0.0,0.0,-0.0,11053.756847898678
2020-04-01,58.21010208129883,176218400,-0.05261698895139966,0.0,0.0,-0.0,11053.756847898678
2020-04-02,59.18143081665039,165934000,0.01668660078958384,0.0,0.0,0.0,11053.756847898678
2020-04-03,58.3309211730957,129880000,-0.014371224754427536,0.0,0.0,-0.0,11053.756847898678
2020-04-06,63.419551849365234,201820400,0.08723727611242649,0.0,0.0,0.0,11053.756847898678
2020-04-07,62.68500518798828,202887200,-0.011582337622341732,0.0,0.0,-0.0,11053.756847898678
2020-04-08,64.28942108154297,168895200,0.025594891294068667,0.0,0.0,0.0,11053.756847898678
2020-04-09,64.7533187866211,161834800,0.007215770452960291,0.0,0.0,0.0,11053.756847898678
2020-04-13,66.02428436279297,131022800,0.019627805956325295,0.0,0.0,0.0,11053.756847898678
2020-04-14,69.35871887207031,194994800,0.050503152612077606,0.0,0.0,0.0,11053.756847898678
2020-04-15,68.72564697265625,131154400,-0.009127502781326458,0.0,0.0,-0.0,11053.756847898678
2020-04-16,69.27173614501953,157125200,0.007945929888161674,0.0,0.0,0.0,11053.756847898678
2020-04-17,68.3318099975586,215250000,-0.013568681828519669,0.0,0.0,-0.0,11053.756847898678
2020-04-20,66.9134750366211,130015200,-0.02075658410026271,0.0,0.0,-0.0,11053.756847898678
2020-04-21,64.84514617919922,180991600,-0.030910498315771195,0.0,0.0,-0.0,11053.756847898678
2020-04-22,66.71292877197266,116862400,0.028803737871325508,0.0,0.0,0.0,11053.756847898678
2020-04-23,66.4543685913086,124814400,-0.0038757132301571184,0.0,0.0,-0.0,11053.756847898678
2020-04-24,68.37289428710938,126161200,0.02886982054708298,0.0,0.0,0.0,11053.756847898678
2020-04-27,68.42121887207031,117087600,0.0007067798645179479,0.0,0.0,0.0,11053.756847898678
2020-04-28,67.31214904785156,112004800,-0.016209442662698192,0.0,0.0,-0.0,11053.756847898678
2020-04-29,69.52302551269531,137280800,0.03284513265609834,0.0,0.0,0.0,11053.756847898678
2020-04-30,70.98969268798828,183064000,0.02109613562524193,0.0,0.0,0.0,11053.756847898678
2020-05-01,69.84679412841797,240616800,-0.01609950003014582,0.0,0.0,-0.0,11053.756847898678
2020-05-04,70.83505249023438,133568000,0.014148943758240717,0.0,0.0,0.0,11053.756847898678
2020-05-05,71.89820098876953,147751200,0.01500879100332031,0.0,0.0,0.0,11053.756847898678
2020-05-06,72.64000701904297,142333600,0.010317449116554522,0.0,0.0,0.0,11053.756847898678
2020-05-07,73.3914566040039,115215200,0.010344844608342951,0.0,0.0,0.0,11053.756847898678
2020-05-08,75.1383056640625,133838400,0.023801803927724352,0.0,0.0,0.0,11053.756847898678
2020-05-11,76.32062530517578,145946400,0.015735244901573076,0.0,0.0,0.0,11053.756847898678
2020-05-12,75.44842529296875,162301200,-0.011428103592173833,0.0,0.0,-0.0,11053.756847898678
2020-05-13,74.53746032714844,200622400,-0.012074008997311814,0.0,0.0,-0.0,11053.756847898678
2020-05-14,74.99533081054688,158929200,0.006142823774633932,0.0,0.0,0.0,11053.756847898678
2020-05-15,74.55196380615234,166348400,-0.005911928110758802,0.0,0.0,-0.0,11053.756847898678
2020-05-18,76.3084945678711,135178400,0.023561160190039176,0.0,0.0,0.0,11053.756847898678
2020-05-19,75.8675765991211,101729600,-0.005778098116689168,0.0,0.0,-0.0,11053.756847898678
2020-05-20,77.34303283691406,111504800,0.0194477839405518,0.0,0.0,0.0,11053.756847898678
2020-05-21,76.76640319824219,102688800,-0.0074554826404048535,0.0,0.0,-0.0,11053.756847898678
2020-05-22,77.26067352294922,81803200,0.006438628151310244,0.0,0.0,0.0,11053.756847898678
2020-05-26,76.73734283447266,125522000,-0.00677357139944057,0.0,0.0,-0.0,11053.756847898678
2020-05-27,77.07168579101562,112945200,0.004356978547773949,0.0,0.0,0.0,11053.756847898678
2020-05-28,77.10560607910156,133560800,0.00044011348315264875,0.0,0.0,0.0,11053.756847898678
2020-05-29,77.0304946899414,153532400,-0.000974136550889737,0.0,0.0,-0.0,11053.756847898678
2020-06-01,77.97782897949219,80791200,0.012298172215613246,0.0,0.0,0.0,11053.756847898678
2020-06-02,78.33881378173828,87642800,0.004629326142704393,0.0,0.0,0.0,11053.756847898678
2020-06-03,78.77006530761719,104491200,0.005504953484238628,0.0,0.0,0.0,11053.756847898678
2020-06-04,78.09168243408203,87560400,-0.00861219133037272,0.0,0.0,-0.0,11053.756847898678
2020-06-05,80.3157958984375,137250400,0.028480798402990892,0.0,0.0,0.0,11053.756847898678
2020-06-08,80.79067993164062,95654400,0.005912710294294188,0.0,0.0,0.0,11053.756847898678
2020-06-09,83.34187316894531,147712400,0.03157781614739874,0.0,0.0,0.0,11053.756847898678
2020-06-10,85.48606872558594,166651600,0.025727710154702876,0.0,0.0,0.0,11053.756847898678
2020-06-11,81.38186645507812,201662400,-0.04801018846336802,0.0,0.0,-0.0,11053.756847898678
2020-06-12,82.0844497680664,200146000,0.008633167849205092,0.0,0.0,0.0,11053.756847898678
2020-06-15,83.099609375,138808800,0.012367258473462206,0.0,0.0,0.0,11053.756847898678
2020-06-16,85.30194854736328,165428800,0.026502401021223587,0.0,0.0,0.0,11053.756847898678
2020-06-17,85.1832275390625,114406400,-0.0013917736971138517,0.0,0.0,-0.0,11053.756847898678
2020-06-18,85.21712493896484,96820400,0.00039793514382635564,0.0,0.0,0.0,11053.756847898678
2020-06-19,84.73014831542969,264476000,-0.005714539464737212,0.0,0.0,-0.0,11053.756847898678
2020-06-22,86.94701385498047,135445200,0.026163834049929058,0.0,0.0,0.0,11053.756847898678
2020-06-23,88.80288696289062,212155600,0.021344874603808517,0.0,0.0,0.0,11053.756847898678
2020-06-24,87.23533630371094,192623200,-0.017652023631109515,0.0,0.0,-0.0,11053.756847898678
2020-06-25,88.3934326171875,137522400,0.013275541340777686,0.0,0.0,0.0,11053.756847898678
2020-06-26,85.6774673461914,205256800,-0.030725871714455733,0.0,0.0,-0.0,11053.756847898678
2020-06-29,87.65206909179688,130646000,0.023046920115259883,0.0,0.0,0.0,11053.756847898678
2020-06-30,88.38373565673828,140223200,0.008347396388043604,0.0,0.0,0.0,11053.756847898678
2020-07-01,88.21656799316406,110737200,-0.0018913849061942267,0.0,0.0,-0.0,11053.756847898678
2020-07-02,88.21656799316406,114041600,0.0,0.0,0.0,0.0,11053.756847898678
2020-07-06,90.57638549804688,118655600,0.026750275583897976,0.0,0.0,0.0,11053.756847898678
2020-07-07,90.29532623291016,112424400,-0.003103008180236788,0.0,0.0,-0.0,11053.756847898678
2020-07-08,92.3983154296875,117092000,0.023290122363064825,0.0,0.0,0.0,11053.756847898678
2020-07-09,92.79566192626953,125642800,0.004300365160708974,0.0,0.0,0.0,11053.756847898678
2020-07-10,92.95796966552734,90257200,0.0017490875746624113,0.0,0.0,0.0,11053.756847898678
2020-07-13,92.52914428710938,191649200,-0.004613110419267152,0.0,0.0,-0.0,11053.756847898678
2020-07-14,94.06035614013672,170989200,0.016548427685401768,0.0,0.0,0.0,11053.756847898678
2020-07-15,94.7072525024414,153198000,0.006877460269668845,0.0,0.0,0.0,11053.756847898678
2020-07-16,93.5418701171875,110577600,-0.01230510182125566,0.0,0.0,-0.0,11053.756847898678
2020-07-17,93.3529052734375,92186800,-0.002020109748856469,0.0,0.0,-0.0,11053.756847898678
2020-07-20,95.32022094726562,90318000,0.02107396302306519,0.0,0.0,0.0,11053.756847898678
2020-07-21,94.00463104248047,103433200,-0.013801792439329219,0.0,0.0,-0.0,11053.756847898678
2020-07-22,94.26873016357422,89001600,0.002809426707652385,0.0,0.0,0.0,11053.756847898678
2020-07-23,89.9779281616211,197004400,-0.04551670521611739,0.0,0.0,-0.0,11053.756847898678
2020-07-24,89.75503540039062,185438800,-0.002477193749450435,0.0,0.0,-0.0,11053.756847898678
